battery_id,ship_name,ship_type,country,battery_name,shell_size_inch,shell_weight_pounds,max_rate_of_fire_shoot_per_min,max_rate_of_fire_per_2_min,range_yards,damage_rating,caliber_length,distance_yards,distance_kyd,rate_of_fire,range_band,horizontal_penetration_inch,vertical_penetration_inch
0,Yoshino,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,2000.0,2.0,7.8,Short,0.2,4.8
0,Yoshino,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,4000.0,4.0,6.5,Short,0.3,3.5
0,Yoshino,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,6000.0,6.0,5.3,Short,0.4,2.5
0,Yoshino,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,8000.0,8.0,4.3,Medium,0.5,2.0
0,Yoshino,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,10000.0,10.0,3.5,Medium,0.6,1.7
0,Yoshino,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,12000.0,12.0,2.9,Long,0.9,1.6
0,Yoshino,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,15000.0,15.0,2.8,Long,1.0,1.6
1,Yoshino,LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,2000.0,2.0,7.4,Short,0.0,3.3
1,Yoshino,LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,4000.0,4.0,5.7,Short,0.2,2.1
1,Yoshino,LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,6000.0,6.0,4.4,Medium,0.2,1.6
1,Yoshino,LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,8000.0,8.0,3.5,Long,0.4,1.4
1,Yoshino,LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,10000.0,10.0,2.8,Long,0.7,1.2
2,Yoshino (1901),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,2000.0,2.0,7.8,Short,0.2,4.8
2,Yoshino (1901),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,4000.0,4.0,6.5,Short,0.3,3.5
2,Yoshino (1901),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,6000.0,6.0,5.3,Short,0.4,2.5
2,Yoshino (1901),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,8000.0,8.0,4.3,Medium,0.5,2.0
2,Yoshino (1901),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,10000.0,10.0,3.5,Medium,0.6,1.7
2,Yoshino (1901),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,12000.0,12.0,2.9,Long,0.9,1.6
2,Yoshino (1901),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,15000.0,15.0,2.8,Long,1.0,1.6
3,Yoshino (1901),LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,2000.0,2.0,7.4,Short,0.0,3.3
3,Yoshino (1901),LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,4000.0,4.0,5.7,Short,0.2,2.1
3,Yoshino (1901),LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,6000.0,6.0,4.4,Medium,0.2,1.6
3,Yoshino (1901),LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,8000.0,8.0,3.5,Long,0.4,1.4
3,Yoshino (1901),LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,10000.0,10.0,2.8,Long,0.7,1.2
4,Akitsushima,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,2000.0,2.0,7.8,Short,0.2,4.8
4,Akitsushima,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,4000.0,4.0,6.5,Short,0.3,3.5
4,Akitsushima,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,6000.0,6.0,5.3,Short,0.4,2.5
4,Akitsushima,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,8000.0,8.0,4.3,Medium,0.5,2.0
4,Akitsushima,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,10000.0,10.0,3.5,Medium,0.6,1.7
4,Akitsushima,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,12000.0,12.0,2.9,Long,0.9,1.6
4,Akitsushima,LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,15000.0,15.0,2.8,Long,1.0,1.6
5,Akitsushima,LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,2000.0,2.0,7.4,Short,0.0,3.3
5,Akitsushima,LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,4000.0,4.0,5.7,Short,0.2,2.1
5,Akitsushima,LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,6000.0,6.0,4.4,Medium,0.2,1.6
5,Akitsushima,LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,8000.0,8.0,3.5,Long,0.4,1.4
5,Akitsushima,LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,10000.0,10.0,2.8,Long,0.7,1.2
6,Akitsushima (1902),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,2000.0,2.0,7.8,Short,0.2,4.8
6,Akitsushima (1902),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,4000.0,4.0,6.5,Short,0.3,3.5
6,Akitsushima (1902),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,6000.0,6.0,5.3,Short,0.4,2.5
6,Akitsushima (1902),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,8000.0,8.0,4.3,Medium,0.5,2.0
6,Akitsushima (1902),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,10000.0,10.0,3.5,Medium,0.6,1.7
6,Akitsushima (1902),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,12000.0,12.0,2.9,Long,0.9,1.6
6,Akitsushima (1902),LightCruiser,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,15000.0,15.0,2.8,Long,1.0,1.6
7,Akitsushima (1902),LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,2000.0,2.0,7.4,Short,0.0,3.3
7,Akitsushima (1902),LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,4000.0,4.0,5.7,Short,0.2,2.1
7,Akitsushima (1902),LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,6000.0,6.0,4.4,Medium,0.2,1.6
7,Akitsushima (1902),LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,8000.0,8.0,3.5,Long,0.4,1.4
7,Akitsushima (1902),LightCruiser,Japan,4.7''/40 QF Type 41,4.7,45.0,6.0,12.0,9899.0,12.0,40.0,10000.0,10.0,2.8,Long,0.7,1.2
8,Naniwa,LightCruiser,Japan,26cm RKL/35 C/83,10.2,606.3,0.4,0.8,8968.0,34.0,35.0,2000.0,2.0,0.8,Short,0.3,8.8
8,Naniwa,LightCruiser,Japan,26cm RKL/35 C/83,10.2,606.3,0.4,0.8,8968.0,34.0,35.0,4000.0,4.0,0.8,Short,0.6,7.3
8,Naniwa,LightCruiser,Japan,26cm RKL/35 C/83,10.2,606.3,0.4,0.8,8968.0,34.0,35.0,6000.0,6.0,0.8,Medium,0.9,6.1
8,Naniwa,LightCruiser,Japan,26cm RKL/35 C/83,10.2,606.3,0.4,0.8,8968.0,34.0,35.0,8000.0,8.0,0.8,Medium,1.2,5.3
8,Naniwa,LightCruiser,Japan,26cm RKL/35 C/83,10.2,606.3,0.4,0.8,8968.0,34.0,35.0,10000.0,10.0,0.8,Medium,1.3,5.0
9,Naniwa,LightCruiser,Japan,15cm RKL/35 C/80,5.9,112.4,5.0,10.0,7869.0,17.0,35.0,2000.0,2.0,7.2,Short,0.1,4.7
9,Naniwa,LightCruiser,Japan,15cm RKL/35 C/80,5.9,112.4,5.0,10.0,7869.0,17.0,35.0,4000.0,4.0,5.6,Short,0.2,3.5
9,Naniwa,LightCruiser,Japan,15cm RKL/35 C/80,5.9,112.4,5.0,10.0,7869.0,17.0,35.0,6000.0,6.0,4.4,Medium,0.4,2.8
9,Naniwa,LightCruiser,Japan,15cm RKL/35 C/80,5.9,112.4,5.0,10.0,7869.0,17.0,35.0,8000.0,8.0,3.6,Medium,0.6,2.4
10,Naniwa (1903),LightCruiser,Japan,15cm/40 EOC Z,6.0,100.0,6.0,12.0,11082.0,16.0,40.0,2000.0,2.0,7.6,Short,0.1,6.5
10,Naniwa (1903),LightCruiser,Japan,15cm/40 EOC Z,6.0,100.0,6.0,12.0,11082.0,16.0,40.0,4000.0,4.0,6.2,Short,0.2,4.6
10,Naniwa (1903),LightCruiser,Japan,15cm/40 EOC Z,6.0,100.0,6.0,12.0,11082.0,16.0,40.0,6000.0,6.0,5.0,Medium,0.4,3.3
10,Naniwa (1903),LightCruiser,Japan,15cm/40 EOC Z,6.0,100.0,6.0,12.0,11082.0,16.0,40.0,8000.0,8.0,4.0,Medium,0.6,2.6
10,Naniwa (1903),LightCruiser,Japan,15cm/40 EOC Z,6.0,100.0,6.0,12.0,11082.0,16.0,40.0,10000.0,10.0,3.3,Long,0.9,2.2
10,Naniwa (1903),LightCruiser,Japan,15cm/40 EOC Z,6.0,100.0,6.0,12.0,11082.0,16.0,40.0,12000.0,12.0,3.0,Long,1.0,2.1
11,Chi Yuan,LightCruiser,China,21cm RKL/22,8.2,217.2,0.8,1.6,6124.0,23.0,22.0,2000.0,2.0,1.6,Short,0.2,4.5
11,Chi Yuan,LightCruiser,China,21cm RKL/22,8.2,217.2,0.8,1.6,6124.0,23.0,22.0,4000.0,4.0,1.6,Medium,0.3,3.5
11,Chi Yuan,LightCruiser,China,21cm RKL/22,8.2,217.2,0.8,1.6,6124.0,23.0,22.0,6000.0,6.0,1.6,Medium,0.5,3.0
11,Chi Yuan,LightCruiser,China,21cm RKL/22,8.2,217.2,0.8,1.6,6124.0,23.0,22.0,8000.0,8.0,1.6,Medium,0.5,2.9
12,Chi Yuan,LightCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,2000.0,2.0,7.2,Short,0.1,4.5
12,Chi Yuan,LightCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,4000.0,4.0,5.6,Medium,0.3,3.3
12,Chi Yuan,LightCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,6000.0,6.0,4.4,Medium,0.4,2.6
12,Chi Yuan,LightCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,8000.0,8.0,3.6,Medium,0.6,2.2
13,Kuang Yi,PatrolGunboat,China,12cm SKL/40 C/88,4.7,52.5,5.0,10.0,11833.0,13.0,40.0,2000.0,2.0,7.4,Short,0.1,4.2
13,Kuang Yi,PatrolGunboat,China,12cm SKL/40 C/88,4.7,52.5,5.0,10.0,11833.0,13.0,40.0,4000.0,4.0,5.9,Short,0.2,2.7
13,Kuang Yi,PatrolGunboat,China,12cm SKL/40 C/88,4.7,52.5,5.0,10.0,11833.0,13.0,40.0,6000.0,6.0,4.6,Medium,0.3,2.0
13,Kuang Yi,PatrolGunboat,China,12cm SKL/40 C/88,4.7,52.5,5.0,10.0,11833.0,13.0,40.0,8000.0,8.0,3.6,Long,0.4,1.7
13,Kuang Yi,PatrolGunboat,China,12cm SKL/40 C/88,4.7,52.5,5.0,10.0,11833.0,13.0,40.0,10000.0,10.0,2.9,Long,0.7,1.4
13,Kuang Yi,PatrolGunboat,China,12cm SKL/40 C/88,4.7,52.5,5.0,10.0,11833.0,13.0,40.0,12000.0,12.0,2.4,Extreme,1.1,1.2
14,Ting Yuen,Battleship,China,30.5cm RKL/25 C/80,12.0,725.3,0.6,1.2,7904.0,38.0,25.0,2000.0,2.0,1.2,Short,0.2,8.4
14,Ting Yuen,Battleship,China,30.5cm RKL/25 C/80,12.0,725.3,0.6,1.2,7904.0,38.0,25.0,4000.0,4.0,1.2,Short,0.5,6.8
14,Ting Yuen,Battleship,China,30.5cm RKL/25 C/80,12.0,725.3,0.6,1.2,7904.0,38.0,25.0,6000.0,6.0,1.2,Medium,0.9,5.7
14,Ting Yuen,Battleship,China,30.5cm RKL/25 C/80,12.0,725.3,0.6,1.2,7904.0,38.0,25.0,8000.0,8.0,1.2,Medium,1.2,5.0
15,Ting Yuen,Battleship,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,2000.0,2.0,7.2,Short,0.1,4.5
15,Ting Yuen,Battleship,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,4000.0,4.0,5.6,Medium,0.3,3.3
15,Ting Yuen,Battleship,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,6000.0,6.0,4.4,Medium,0.4,2.6
15,Ting Yuen,Battleship,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,8000.0,8.0,3.6,Medium,0.6,2.2
16,Chin Yen (1896),Battleship,Japan,30.5cm RKL/25 C/80,12.0,725.0,0.6,1.2,7940.0,38.0,25.0,2000.0,2.0,0.8,Short,0.5,8.9
16,Chin Yen (1896),Battleship,Japan,30.5cm RKL/25 C/80,12.0,725.0,0.6,1.2,7940.0,38.0,25.0,4000.0,4.0,0.8,Short,1.0,7.2
16,Chin Yen (1896),Battleship,Japan,30.5cm RKL/25 C/80,12.0,725.0,0.6,1.2,7940.0,38.0,25.0,6000.0,6.0,0.8,Medium,1.5,6.0
16,Chin Yen (1896),Battleship,Japan,30.5cm RKL/25 C/80,12.0,725.0,0.6,1.2,7940.0,38.0,25.0,8000.0,8.0,0.8,Medium,1.9,5.3
17,Chin Yen (1896),Battleship,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,2000.0,2.0,7.8,Short,0.2,4.8
17,Chin Yen (1896),Battleship,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,4000.0,4.0,6.5,Short,0.3,3.5
17,Chin Yen (1896),Battleship,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,6000.0,6.0,5.3,Short,0.4,2.5
17,Chin Yen (1896),Battleship,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,8000.0,8.0,4.3,Medium,0.5,2.0
17,Chin Yen (1896),Battleship,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,10000.0,10.0,3.5,Medium,0.6,1.7
17,Chin Yen (1896),Battleship,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,12000.0,12.0,2.9,Long,0.9,1.6
17,Chin Yen (1896),Battleship,Japan,15cm/45 EOC/VSM,6.0,100.0,6.0,12.0,12282.0,16.0,45.0,15000.0,15.0,2.9,Long,1.0,1.6
18,Chao Yung,LightCruiser,China,10''/26 25-Ton BLR,10.0,400.0,0.8,1.6,7999.0,30.0,26.0,2000.0,2.0,1.6,Short,0.3,6.7
18,Chao Yung,LightCruiser,China,10''/26 25-Ton BLR,10.0,400.0,0.8,1.6,7999.0,30.0,26.0,4000.0,4.0,1.6,Short,0.5,5.2
18,Chao Yung,LightCruiser,China,10''/26 25-Ton BLR,10.0,400.0,0.8,1.6,7999.0,30.0,26.0,6000.0,6.0,1.6,Medium,0.6,4.2
18,Chao Yung,LightCruiser,China,10''/26 25-Ton BLR,10.0,400.0,0.8,1.6,7999.0,30.0,26.0,8000.0,8.0,1.6,Medium,0.9,3.5
19,Chao Yung,LightCruiser,China,4.75''/22 40-pdr 1.32-Ton BLR,4.8,40.5,3.0,6.0,5198.0,12.0,22.0,2000.0,2.0,6.0,Short,0.0,2.0
19,Chao Yung,LightCruiser,China,4.75''/22 40-pdr 1.32-Ton BLR,4.8,40.5,3.0,6.0,5198.0,12.0,22.0,4000.0,4.0,5.0,Medium,0.1,1.5
19,Chao Yung,LightCruiser,China,4.75''/22 40-pdr 1.32-Ton BLR,4.8,40.5,3.0,6.0,5198.0,12.0,22.0,6000.0,6.0,4.2,Medium,0.2,1.3
20,Chih Yuan,LightCruiser,China,21cm RKL/30 C/84,8.2,308.6,1.0,2.0,8228.0,26.0,30.0,2000.0,2.0,2.0,Short,0.2,6.4
20,Chih Yuan,LightCruiser,China,21cm RKL/30 C/84,8.2,308.6,1.0,2.0,8228.0,26.0,30.0,4000.0,4.0,2.0,Short,0.4,5.0
20,Chih Yuan,LightCruiser,China,21cm RKL/30 C/84,8.2,308.6,1.0,2.0,8228.0,26.0,30.0,6000.0,6.0,2.0,Medium,0.6,4.2
20,Chih Yuan,LightCruiser,China,21cm RKL/30 C/84,8.2,308.6,1.0,2.0,8228.0,26.0,30.0,8000.0,8.0,2.0,Medium,0.9,3.5
20,Chih Yuan,LightCruiser,China,21cm RKL/30 C/84,8.2,308.6,1.0,2.0,8228.0,26.0,30.0,10000.0,10.0,2.0,Medium,0.9,3.5
21,Chih Yuan,LightCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,2000.0,2.0,7.2,Short,0.1,4.5
21,Chih Yuan,LightCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,4000.0,4.0,5.6,Medium,0.3,3.3
21,Chih Yuan,LightCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,6000.0,6.0,4.4,Medium,0.4,2.6
21,Chih Yuan,LightCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,8000.0,8.0,3.6,Medium,0.6,2.2
22,King Yuan,ArmoredCruiser,China,21cm RKL/22,8.2,217.2,0.8,1.6,6124.0,23.0,22.0,2000.0,2.0,1.6,Short,0.2,4.5
22,King Yuan,ArmoredCruiser,China,21cm RKL/22,8.2,217.2,0.8,1.6,6124.0,23.0,22.0,4000.0,4.0,1.6,Medium,0.3,3.5
22,King Yuan,ArmoredCruiser,China,21cm RKL/22,8.2,217.2,0.8,1.6,6124.0,23.0,22.0,6000.0,6.0,1.6,Medium,0.5,3.0
22,King Yuan,ArmoredCruiser,China,21cm RKL/22,8.2,217.2,0.8,1.6,6124.0,23.0,22.0,8000.0,8.0,1.6,Medium,0.5,2.9
23,King Yuan,ArmoredCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,2000.0,2.0,7.2,Short,0.1,4.5
23,King Yuan,ArmoredCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,4000.0,4.0,5.6,Medium,0.3,3.3
23,King Yuan,ArmoredCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,6000.0,6.0,4.4,Medium,0.4,2.6
23,King Yuan,ArmoredCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,8000.0,8.0,3.6,Medium,0.6,2.2
24,Ping Yuen,ArmoredCruiser,China,26cm RKL C/83,10.4,606.3,0.5,1.0,9590.0,34.0,83.0,2000.0,2.0,1.0,Short,0.4,8.9
24,Ping Yuen,ArmoredCruiser,China,26cm RKL C/83,10.4,606.3,0.5,1.0,9590.0,34.0,83.0,4000.0,4.0,1.0,Short,0.7,7.3
24,Ping Yuen,ArmoredCruiser,China,26cm RKL C/83,10.4,606.3,0.5,1.0,9590.0,34.0,83.0,6000.0,6.0,1.0,Medium,1.0,6.1
24,Ping Yuen,ArmoredCruiser,China,26cm RKL C/83,10.4,606.3,0.5,1.0,9590.0,34.0,83.0,8000.0,8.0,1.0,Medium,1.2,5.2
24,Ping Yuen,ArmoredCruiser,China,26cm RKL C/83,10.4,606.3,0.5,1.0,9590.0,34.0,83.0,10000.0,10.0,1.0,Medium,1.4,4.6
25,Ping Yuen,ArmoredCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,2000.0,2.0,7.2,Short,0.1,4.5
25,Ping Yuen,ArmoredCruiser,China,15cm RKL/35 C/80,5.9,112.4,4.0,8.0,7818.0,17.0,35.0,4000.0,4.0,5.6,Medium,0.3,3.3
